year,geography,real_rent,cs_home,real_rent_reindexed,cs_home_reindexed
2000,20 City,183.925,106.34856880381192,1,1
2001,20 City,192.108,117.22645271834533,1.0444909609895336,1.102285193274209
2002,20 City,199.667,128.14632947430883,1.085589234742422,1.2049652469767473
2003,20 City,205.517,142.50996117242158,1.1173956775859724,1.3400270711241908
2004,20 City,211.017,164.42325816670842,1.1472991708576865,1.5460787109418523
2005,20 City,217.342,190.34613550269725,1.1816881881201577,1.7898326008866285
2006,20 City,225.1,204.7971290616591,1.2238684246296043,1.925715892232284
2007,20 City,234.685,196.9475832763029,1.2759820579040368,1.8519062878939618
2008,20 City,243.276,165.94166626025608,1.3226913143944543,1.5603563651747812
2009,20 City,248.812,143.83812575139467,1.3527905396221285,1.3525158577050733
2010,20 City,249.383,145.65180183216117,1.3558950659236102,1.369569929058984
2011,20 City,253.634,140.02493047574757,1.3790077477232565,1.3166602244931065
2012,20 City,260.361,141.2985900420275,1.4155824384939513,1.3286364981807153
2013,20 City,267.716,158.22897029098058,1.455571564496398,1.4878335653287051
2014,20 City,276.156,170.75590194214925,1.5014598341715373,1.6056248228140588
2015,20 City,286.027,179.35099675584058,1.5551284490960988,1.6864448555645444
2016,20 City,296.819,188.7249396605789,1.6138045398939784,1.7745884291939276
2017,20 City,308.144,199.90359611320233,1.675378551039826,1.879701799109092
2018,20 City,319.292,211.35793899396717,1.7359902134022018,1.9874074599336906
2019,20 City,331.126,216.51445819850983,1.8003316569253769,2.035894423722129
2020,20 City,341.47,228.3284443271115,1.8565719722713063,2.1469818249112853
2021,20 City,349.135,266.98195386495706,1.898246567894522,2.5104423770617537
2022,20 City,NA,NA,NA,NA
1987,San Francisco,133.067,49.227081236142915,1,1
1988,San Francisco,138.783,57.281840080416416,1.042955804218927,1.1636245465302872
1989,San Francisco,144.225,68.90220888536284,1.0838524953594804,1.3996809714319258
1990,San Francisco,151.008,73.76360766001125,1.1348268165660909,1.4984355319822094
1991,San Francisco,156.4,70.65634077122242,1.175347757144897,1.435314444752129
1992,San Francisco,160.05,69.41921212778908,1.2027775481524345,1.4101833865547353
1993,San Francisco,164.367,67.40619297636768,1.235219851653678,1.3692908716854315
1994,San Francisco,167.475,67.51626533231983,1.2585765065718773,1.3715268839207322
1995,San Francisco,169.95,67.30951084610808,1.2771761593783582,1.3673268687863807
1996,San Francisco,174.458,67.50334501499641,1.3110538300254757,1.3712644203133237
1997,San Francisco,185.117,72.76507268203092,1.3911563347787204,1.4781512706994748
1998,San Francisco,199.617,81.64893847470641,1.5001239976853764,1.6586183138308657
1999,San Francisco,213.575,92.51147910451509,1.605018524502694,1.8792802006833675
2000,San Francisco,228.583,115.94070374129625,1.7178038131167006,2.3552219800545813
2001,San Francisco,252.875,130.74405397959774,1.9003584660359065,2.655937559093071
2002,San Francisco,262.542,136.753907837692,1.9730060796440887,2.7780218612125673
2003,San Francisco,262.842,147.49412892178526,1.9752605830145713,2.9961989461502725
2004,San Francisco,262.167,171.27213772090624,1.9701879504309856,3.4792259345889653
2005,San Francisco,262.967,206.76719838639525,1.976199959418939,4.200273369743992
2006,San Francisco,266.992,215.96292029517224,2.00644787963958,4.387075464807581
2007,San Francisco,277.314,206.21950502204226,2.0840178256066495,4.189147514816179
2008,San Francisco,288.81,156.15416237664965,2.17041039476354,3.172119054298105
2009,San Francisco,298.154,127.4350502877654,2.2406306597428363,2.5887183860537637
2010,San Francisco,297.814,139.2859558497151,2.238075555922956,2.8294579396563986
2011,San Francisco,304.693,132.49167564760717,2.2897713182081203,2.6914387837061264
2012,San Francisco,317.228,137.13968782973524,2.383971984038116,2.7858586043701123
2013,San Francisco,331.454,169.0081201412189,2.490880533866398,3.4332346321831446
2014,San Francisco,349.71,192.3598741942595,2.6280745789714954,3.9076026724295683
2015,San Francisco,371.075,211.9165624590406,2.788632794006027,4.304877663627348
2016,San Francisco,395.72,226.74605807846157,2.9738402458911675,4.606124360507135
2017,San Francisco,417.509,242.0050155479015,3.137584825689314,4.916095154758424
2018,San Francisco,439.733,264.333422240239,3.3045984353746607,5.369674894439268
2019,San Francisco,455.169,266.2743358120288,3.420600148797222,5.409102654994058
2020,San Francisco,467.039,278.8282883147595,3.509803332155981,5.6641239194584125
2021,San Francisco,467.526,327.0066113318896,3.513463142627398,6.642819422163886
2022,San Francisco,NA,NA,NA,NA
1987,Los Angeles,130.467,63.21634906082275,1,1
1988,Los Angeles,136.775,76.361918294412,1.048349391033748,1.2079457201956005
1989,Los Angeles,143.15,94.77078481706016,1.0972123218898264,1.4991499228447651
1990,Los Angeles,149.567,99.36352504205267,1.146397173231545,1.5718010691577808
1991,Los Angeles,153.867,94.07303752236774,1.1793556991423118,1.4881124728012471
1992,Los Angeles,155.758,89.69135804916492,1.1938497857695816,1.4188000316637963
1993,Los Angeles,156.133,81.08884771116341,1.1967240758199391,1.2827195640979658
1994,Los Angeles,156.392,76.74599380486292,1.1987092521480527,1.2140212926726093
1995,Los Angeles,155.733,74.85247384277666,1.193658166432891,1.1840682822533515
1996,Los Angeles,157.258,74.07511157132592,1.2053469459710118,1.1717714273574318
1997,Los Angeles,159.6,76.60454978366684,1.2232978454321781,1.211783833165734
1998,Los Angeles,163.967,86.98665410693292,1.2567699111652755,1.3760151511318677
1999,Los Angeles,169.942,96.10706619320375,1.302566932634306,1.5202881473072043
2000,Los Angeles,176.792,105.98029225466225,1.355070630887504,1.676469676423337
2001,Los Angeles,186.4,116.47703316633392,1.4287137743643985,1.842514395354707
2002,Los Angeles,196.983,132.43154220286567,1.5098300719722226,2.0948938711321095
2003,Los Angeles,207.375,157.67389790927183,1.5894823978477315,2.4941949393117917
2004,Los Angeles,220.658,202.5980418661985,1.69129358381813,3.204836167796903
2005,Los Angeles,234.925,243.14761371920935,1.800646906880667,3.8462773844352856
2006,Los Angeles,248.458,271.29201547208,1.9043742862179707,4.2914850272523655
2007,Los Angeles,263.758,257.139770651331,2.021645320272559,4.067615015285483
2008,Los Angeles,275.679,194.81382001883367,2.113017084780059,3.0816999544120494
2009,Los Angeles,280.255,164.85037393906717,2.148091088167889,2.6077174083631216
2010,Los Angeles,279.752,173.60642766250174,2.144235707113676,2.7462267315606708
2011,Los Angeles,283.445,167.6975498506795,2.172541715529597,2.6527560091983737
