"","fips","netwp_h"
"276","08065",NA
"277","08067",-0.00827211979776621
"278","08069",-0.0161050483584404
"279","08071",NA
"280","08073",NA
"281","08075",-0.00217682332731783
"282","08077",-0.018173523247242
"283","08079",NA
"284","08081",-0.0318818390369415
"285","08083",NA
"286","08085",-0.0187393631786108
"287","08087",-0.0534185543656349
"288","08089",NA
"289","08091",NA
"290","08093",-0.141741842031479
"291","08095",NA
"292","08097",-0.0419823937118053
"293","08099",NA
"294","08101",-0.026771305128932
"295","08103",NA
"296","08105",NA
"297","08107",-0.0427168272435665
"298","08109",NA
"299","08111",NA
"300","08113",NA
"301","08115",NA
"302","08117",-0.00275647989474237
"303","08119",0.00733575038611889
"304","08121",NA
"305","08123",-0.0540613681077957
"306","08125",NA
"307","09001",-0.0686943903565407
"308","09003",-0.0402201898396015
"309","09005",-0.100879617035389
"310","09007",-0.0500566624104977
"311","09009",-0.0860514640808105
"312","09011",-0.0598246604204178
"313","09013",-0.0381334722042084
"314","09015",-0.101543679833412
"315","10001",-0.0303193964064121
"316","10003",-0.0515488013625145
"317","10005",-0.0563319958746433
"318","11001",-0.0110680460929871
"319","12001",-0.0675952211022377
"320","12003",NA
"321","12005",-0.1602633446455
"322","12007",NA
"323","12009",-0.173972576856613
"324","12011",-0.253746509552002
"325","12013",NA
"326","12015",-0.196475327014923
"327","12017",-0.127109363675117
"328","12019",-0.130568400025368
"329","12021",-0.117437288165092
"330","12023",-0.142739668488503
"331","12027",-0.299444168806076
"332","12029",NA
"333","12031",-0.112560942769051
"334","12033",-0.0905984938144684
"335","12035",-0.169195771217346
"336","12037",NA
"337","12039",NA
"338","12041",NA
"339","12043",NA
"340","12045",-0.249860391020775
"341","12047",NA
"342","12049",NA
"343","12051",-0.206490606069565
"344","12053",-0.175689667463303
"345","12055",-0.255782544612885
"346","12057",-0.173511728644371
"347","12059",NA
"348","12061",-0.0819494053721428
"349","12063",NA
"350","12065",NA
"351","12067",NA
"352","12069",-0.165788725018501
"353","12071",-0.195211708545685
"354","12073",-0.0700237452983856
"355","12075",NA
"356","12077",NA
"357","12079",NA
"358","12081",-0.139093190431595
"359","12083",-0.135257408022881
"360","12085",-0.103926323354244
"361","12086",-0.217646658420563
"362","12087",-0.205184355378151
"363","12089",-0.0820241943001747
"364","12091",-0.115844033658504
"365","12093",-0.172460108995438
"366","12095",-0.239629909396172
"367","12097",-0.433395981788635
"368","12099",-0.103044681251049
"369","12101",-0.215293824672699
"370","12103",-0.160088062286377
"371","12105",-0.188652649521828
"372","12107",-0.234101682901382
"373","12109",-0.0919040068984032
"374","12111",-0.303029745817184
"375","12113",-0.104701384902
"376","12115",-0.111139982938766
"377","12117",-0.195978298783302
"378","12119",NA
"379","12121",NA
"380","12123",NA
"381","12125",NA
"382","12127",-0.194922775030136
"383","12129",-0.073359988629818
"384","12131",-0.120150752365589
"385","12133",NA
"386","13001",NA
"387","13003",NA
"388","13005",NA
"389","13007",NA
"390","13009",NA
"391","13011",NA
"392","13013",-0.0849751681089401
"393","13015",-0.0625727921724319
"394","13017",-0.0254028737545013
"395","13019",NA
"396","13021",-0.0480962842702866
"397","13023",NA
"398","13025",NA
"399","13027",NA
"400","13029",-0.041373360902071
"401","13031",NA
"402","13033",NA
"403","13035",-0.0591944605112076
"404","13037",NA
"405","13039",NA
"406","13043",NA
"407","13045",-0.082226499915123
"408","13047",-0.0255522411316633
"409","13049",NA
"410","13051",-0.0371224917471409
"411","13053",NA
"412","13055",NA
"413","13057",-0.0696631968021393
"414","13059",-0.0139662688598037
"415","13061",NA
"416","13063",-0.258925557136536
"417","13065",NA
"418","13067",-0.0583340562880039
"419","13069",NA
"420","13071",-0.0831004530191422
"421","13073",-0.00886394269764423
"422","13075",NA
"423","13077",-0.0773080736398697
"424","13079",NA
"425","13081",NA
"426","13083",NA
"427","13085",-0.0728511139750481
"428","13087",NA
"429","13089",-0.0605520978569984
"430","13091",NA
"431","13093",NA
"432","13095",NA
"433","13097",-0.174283847212791
"434","13099",NA
"435","13101",NA
"436","13103",-0.079646959900856
"437","13105",NA
"438","13107",NA
"439","13109",NA
"440","13111",-0.0875870659947395
"441","13113",-0.0520042218267918
"442","13115",-0.0423743836581707
"443","13117",-0.0521991290152073
"444","13119",NA
"445","13121",-0.0483532287180424
"446","13123",-0.106982283294201
"447","13125",NA
"448","13127",-0.0552036128938198
"449","13129",-0.0431901626288891
"450","13131",NA
"451","13133",-0.0210418067872524
"452","13135",-0.114055432379246
"453","13137",-0.0922989323735237
"454","13139",-0.0725927278399467
"455","13141",NA
"456","13143",NA
"457","13145",NA
"458","13147",NA
"459","13149",NA
"460","13151",-0.133804440498352
"461","13153",-0.0137794148176908
"462","13155",NA
"463","13157",-0.0531073324382305
"464","13159",NA
"465","13161",NA
"466","13163",NA
"467","13165",NA
"468","13167",NA
"469","13169",-0.061816893517971
"470","13171",NA
"471","13173",NA
"472","13175",NA
"473","13177",-0.00891172606498003
"474","13179",-0.0157981123775244
"475","13181",NA
"476","13183",NA
"477","13185",-0.0303719900548458
"478","13187",-0.065960168838501
"479","13189",NA
"480","13191",NA
"481","13193",NA
"482","13195",NA
"483","13197",NA
"484","13199",NA
"485","13201",NA
"486","13205",NA
"487","13207",NA
"488","13209",NA
"489","13211",NA
